LIGHTHOUSE CAFE;https://www.google.com/maps/place/LIGHTHOUSE+CAFE/@44.1770016,28.6420381,17z/data=!3m1!4b1!4m6!3m5!1s0x40bae553d783f0a9:0x9c5c0993775ba391!8m2!3d44.1770016!4d28.6420381!16s%2Fg%2F11q2q1q56z?hl=en&entry=ttu&g_ep=EgoyMDI0MDkxMS4wIKXMDSoASAFQAw%3D%3D;8 AM;5 PM;☕️☕️☕️️☕️;🌐🌐🌐🌐🌐
Nobless Café;https://www.google.com/maps?hl=en&gl=ro&um=1&ie=UTF-8&fb=1&sa=X&ftid=0x40bae5cecf4a550b:0xa388d42d32b54fbb;8 AM;8 PM;☕️☕️☕️☕️☕️;🌐🌐🌐🌐
Corretto Tepes Voda;https://www.google.com/maps/place/Corretto+Tepes+Voda+14A/@44.1813512,28.6406609,17z/data=!3m1!4b1!4m6!3m5!1s0x40bae50d673b0541:0x72e17f36ee2f5e62!8m2!3d44.1813512!4d28.6406609!16s%2Fg%2F11c1s8sy21?hl=en&entry=ttu&g_ep=EgoyMDI0MDkxMS4wIKXMDSoASAFQAw%3D%3D;8 AM;7 PM;☕️☕️☕️;🌐🌐🌐🌐
THE HOOD Coffee Bar;https://www.google.com/maps?hl=en&gl=ro&um=1&ie=UTF-8&fb=1&sa=X&ftid=0x40bae583a80bae89:0x43c0b061dff4ddf9;7 AM;5 PM;☕️☕️☕️☕️☕️;🌐🌐🌐🌐🌐
